zona_id,zona_x,zona_y,area_ha,sin_cambio_px,sin_cambio_ha,sin_cambio_pct,urbanizacion_px,urbanizacion_ha,urbanizacion_pct,perdida_vegetacion_px,perdida_vegetacion_ha,perdida_vegetacion_pct,ganancia_vegetacion_px,ganancia_vegetacion_ha,ganancia_vegetacion_pct,nuevo_cuerpo_agua_px,nuevo_cuerpo_agua_ha,nuevo_cuerpo_agua_pct,perdida_agua_px,perdida_agua_ha,perdida_agua_pct,pixeles_validos,cambio_total_ha,cambio_total_pct,indice_transformacion
Z_00_00,0,0,1.963843042988554e-08,19047,190.47,78.26676528599606,1009,10.09,4.14612097304405,1867,18.67,7.671761998685076,2406,24.060000000000002,9.886587771203155,0,0.0,0.0,7,0.07,0.02876397107166338,24336,52.82000000000001,268962431537.39584,4.699999999999999
Z_00_01,0,1,1.963843042988554e-08,17147,171.47,70.4594017094017,1024,10.24,4.2077580539119,3434,34.34,14.110782380013148,2731,27.310000000000002,11.222057856673242,0,0.0,0.0,0,0.0,0.0,24336,71.89000000000001,366067951594.53595,17.270000000000003
Z_00_02,0,2,1.963843042988554e-08,23856,238.56,98.0276134122288,160,1.6,0.6574621959237343,277,2.77,1.1382314266929652,43,0.43,0.1766929651545036,0,0.0,0.0,0,0.0,0.0,24336,4.8,24441871854.969704,3.94
Z_00_03,0,3,1.963843042988554e-08,19907,199.07,81.80062458908613,556,5.5600000000000005,2.284681130834977,2828,28.28,11.620644312952006,1045,10.450000000000001,4.29404996712689,0,0.0,0.0,0,0.0,0.0,24336,44.290000000000006,225527188428.46008,23.39
Z_00_04,0,4,1.963843042988554e-08,21015,210.15,86.35355029585799,1521,15.21,6.25,1608,16.080000000000002,6.607495069033531,192,1.92,0.7889546351084813,0,0.0,0.0,0,0.0,0.0,24336,33.21,169107200896.57166,29.370000000000005
Z_00_05,0,5,1.963843042988554e-08,23336,233.36,95.89086127547667,559,5.59,2.297008547008547,392,3.92,1.6107823800131493,49,0.49,0.20134779750164367,0,0.0,0.0,0,0.0,0.0,24336,10.0,50920566364.52022,9.02
Z_00_06,0,6,1.963843042988554e-08,21452,214.52,88.14924391847468,17,0.17,0.06985535831689678,40,0.4,0.16436554898093358,2827,28.27,11.616535174227481,0,0.0,0.0,0,0.0,0.0,24336,28.84,146854913395.2763,-27.7
Z_00_07,0,7,1.963843042988554e-08,19819,198.19,81.43902038132808,1333,13.33,5.4774819197896125,580,5.8,2.3833004602235373,2604,26.04,10.700197238658777,0,0.0,0.0,0,0.0,0.0,24336,45.17,230008198268.5378,-6.91
Z_00_08,0,8,1.963843042988554e-08,13237,132.37,54.39266929651545,5416,54.160000000000004,22.25509533201841,5683,56.83,23.35223537146614,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,24336,110.99000000000001,565167366079.8099,110.99000000000001
Z_00_09,0,9,1.963843042988554e-08,20823,208.23000000000002,85.5645956607495,1653,16.53,6.792406311637081,1858,18.580000000000002,7.634779750164365,2,0.02,0.00821827744904668,0,0.0,0.0,0,0.0,0.0,24336,35.13,178883949638.55954,35.089999999999996
